文章标题,发布日期,头条文章ID,文章链接,发布账号,产品品类,文章类型,标题结构模板,展现量,粉丝展现量,阅读量,粉丝阅读量,CTR(%),完读率(%),平均阅读时长(s),点赞数,评论数,转发量,分享量,收藏数,互动率(%),标题字数,当前阶段,是否限流,限流原因,表现分层,主因归因,辅因归因,可复用点,问题点,下次动作,建议改写标题,归因来源,复盘日期
洗烘一体机越来越便宜，便宜在哪？拆开看少了这个模块,2026-05-21 19:00:00,7642183495666483764,https://toutiao.com/i7642183495666483764/,牛科技,洗衣机,趋势科普,内幕视角型,563,4,21,0,4.0,25.0,106,0,0,0,0,0,0.0,25,已发布,正常,,普通,选题过窄,['标题弱'],暂不作为核心公式复用，只保留为负样本或改题样本。,样本展现偏低，选题覆盖面或标题钩子不足。,改标题再试,做了十年洗衣机评测，我发现差距藏在这3个细节里,历史补标,2026-05-22
油烟机25m³风量还是呛？最大静压才是排烟能力的真指标,2026-05-20 19:00:00,7641618464834060815,https://toutiao.com/i7641618464834060815/,牛科技,油烟机,选购横评,对比选择型,2645,10,157,1,6.0,10.4,193,1,0,0,9,8,11.46,27,已发布,正常,,普通,标题弱,,暂不作为核心公式复用，只保留为负样本或改题样本。,暂无明显硬伤，继续观察同类样本。,改标题再试,油烟机别急着买，先看懂这3个真正影响体验的参数,历史补标,2026-05-22
1.5匹空调，1000块和3000块差距在哪？冬天才是照妖镜,2026-05-19 19:00:00,7641251709896950307,https://toutiao.com/i7641251709896950307/,牛科技,空调,选购横评,反问悬念型,9057,41,847,3,9.0,29.32,168,9,4,0,5,24,4.96,30,已发布,正常,,点击强,标题强点击,['公式可复用'],反问悬念型 有点击或推荐信号，适合换角度继续测试。,暂无明显硬伤，继续观察同类样本。,复用,,历史补标,2026-05-22
冰箱保鲜7大技术拆开看，哪些是真功夫哪些是花架子,2026-05-18 23:18:34,7641250991807005236,https://toutiao.com/i7641250991807005236/,牛科技,冰箱,选购横评,内幕视角型,864,17,2,0,0,78.33,352,0,0,0,0,0,0.0,24,已发布,正常,,普通,标题弱,['选题过窄'],暂不作为核心公式复用，只保留为负样本或改题样本。,样本展现偏低，选题覆盖面或标题钩子不足。,改标题再试,做了十年冰箱评测，我发现差距藏在这3个细节里,历史补标,2026-05-22
冰箱保鲜7大黑科技拆开看，哪些是真功夫哪些是花架子,2026-05-18 19:00:00,7641048864836960831,https://toutiao.com/i7641048864836960831/,牛科技,冰箱,选购横评,内幕视角型,949,54,4,2,0,27.25,65,1,0,0,0,1,50.0,25,已发布,正常,,普通,标题弱,['选题过窄'],暂不作为核心公式复用，只保留为负样本或改题样本。,样本展现偏低，选题覆盖面或标题钩子不足。,改标题再试,做了十年冰箱评测，我发现差距藏在这3个细节里,历史补标,2026-05-22
海尔冰箱贵500块值不值？拆开503云溪给你看,2026-05-18 00:07:58,7640891352686936622,https://toutiao.com/i7640891352686936622/,牛科技,冰箱,选购横评,内幕视角型,6295,39,376,1,6.0,13.43,151,3,1,0,5,7,4.26,23,已发布,正常,,普通,标题弱,,暂不作为核心公式复用，只保留为负样本或改题样本。,暂无明显硬伤，继续观察同类样本。,改标题再试,做了十年冰箱评测，我发现差距藏在这3个细节里,历史补标,2026-05-22
美的555、容声556、海尔503 双系统冰箱核心技术拆解,2026-05-16 14:38:51,7640367499401298472,https://toutiao.com/i7640367499401298472/,牛科技,冰箱,选购横评,多品牌对决型,10634,52,651,2,6.0,16.9,159,6,2,0,25,28,9.37,29,已发布,正常,,推荐强,平台愿意推,['标题强点击'],多品牌对决型 有点击或推荐信号，适合换角度继续测试。,暂无明显硬伤，继续观察同类样本。,复用,,历史补标,2026-05-22
618冰箱避坑：你买的双循环，可能只有一个蒸发器,2026-05-15 19:00:00,7640012470560309811,https://toutiao.com/i7640012470560309811/,牛科技,冰箱,教程避坑,内幕避坑型,30709,90,3071,8,10.0,12.9,188,52,11,0,169,171,13.12,24,已发布,正常,,爆款,标题强点击,"['内容承接强', '公式可复用']",冰箱+内幕避坑型 已验证，展现/阅读/CTR 同时强，可作为下周优先复用结构。,暂无明显硬伤，继续观察同类样本。,复用,,历史补标,2026-05-22
Mini LED和OLED到底选谁？6条路线拆开讲,2026-05-14 19:00:00,7639635662240563721,https://toutiao.com/i7639635662240563721/,牛科技,电视,选购横评,内幕视角型,4107,108,142,3,3.0,17.81,172,2,3,0,3,2,7.04,25,已发布,正常,,普通,标题弱,,暂不作为核心公式复用，只保留为负样本或改题样本。,暂无明显硬伤，继续观察同类样本。,改标题再试,做了十年电视评测，我发现差距藏在这3个细节里,历史补标,2026-05-22
同样是Mini LED，控光和控色根本不是一回事,2026-05-14 15:00:00,7639411134654644774,https://toutiao.com/i7639411134654644774/,牛科技,电视,选购横评,其他,4619,109,288,3,6.0,30.44,215,11,17,0,27,12,23.26,24,已发布,正常,,承接强,内容承接强,['公式可复用'],内容承接不错，但需要重新包装标题提高点击。,暂无明显硬伤，继续观察同类样本。,改标题再试,电视别急着买，先看懂这3个真正影响体验的参数,历史补标,2026-05-22
